Name,RandomForestClassifier,GradientBoostingClassifier
2510701L01_1,Level_1,Level_1
2511101L01_1,Level_1,Level_1
2511201L01_1,Level_1,Level_1
2511501A01_1,Level_1,Level_1
2511701A01_1,Level_1,Level_1
2511701L01_1,Normal,Level_1
2512201L01_1,Level_1,Level_1
2512401L01_1,Level_1,Level_1
254101L01_1,Level_1,Level_1
254401C01_1,Level_1,Level_1
254801C01_1,Level_1,Level_1
254901L01_1,Level_1,Level_1
255201L01_1,Level_1,Level_1
255601L01_1,Level_1,Level_1
256001L01_1,Level_1,Level_1
257001A01_1,Level_1,Level_1
257201L01_1,Level_1,Level_1
257401A01_1,Level_1,Level_1
257401C01_1,Level_1,Level_1
258101A01_1,Level_1,Level_1
258101C01_1,Level_1,Level_1
258801A01_1,Level_1,Level_1
258801L01_1,Level_1,Level_1
259001A01_1,Level_1,Level_1
259301L01_1,Level_1,Level_1
259601L01_1,Level_1,Level_1
259801L01_1,Level_1,Level_1
260301C01_1,Level_1,Normal
260301L01_1,Level_1,Level_1
260701L01_1,Level_1,Level_1
260901L01_1,Level_1,Level_2
261001L01_1,Level_1,Normal
261101A01_1,Normal,Level_1
261101L01_1,Normal,Normal
261301L01_1,Level_1,Level_1
