Name,RandomForestClassifier,GradientBoostingClassifier
2510001A01_1,Normal,Normal
2510001C01_1,Normal,Normal
2510001L01_1,Normal,Normal
2510101A01_1,Normal,Normal
2510101C01_1,Normal,Normal
2510101L01_1,Normal,Normal
2510201A01_1,Normal,Normal
2510201C01_1,Normal,Normal
2510201L01_1,Normal,Normal
2510301A01_1,Normal,Normal
2510301C01_1,Normal,Normal
2510301L01_1,Normal,Level_1
2510401A01_1,Normal,Normal
2510401C01_1,Normal,Normal
2510401L01_1,Normal,Normal
2510601A01_1,Normal,Normal
2510601C01_1,Normal,Normal
2510601L01_1,Normal,Normal
2510701A01_1,Normal,Normal
2510701C01_1,Normal,Normal
2510701L01_1,Normal,Normal
2510801A01_1,Normal,Normal
2510801C01_1,Normal,Normal
2510801L01_1,Normal,Normal
2510901A01_1,Normal,Normal
2510901C01_1,Normal,Normal
2510901L01_1,Normal,Normal
2511001A01_1,Normal,Normal
2511001C01_1,Normal,Normal
2511001L01_1,Normal,Normal
2511101A01_1,Normal,Normal
2511101C01_1,Normal,Normal
2511101L01_1,Level_1,Level_1
2511201A01_1,Level_1,Level_2
2511201C01_1,Normal,Normal
2511201L01_1,Level_1,Level_2
2511301A01_1,Normal,Normal
2511301C01_1,Normal,Normal
2511301L01_1,Level_2,Normal
2511401A01_1,Normal,Normal
2511401C01_1,Normal,Normal
2511401L01_1,Normal,Normal
2511501A01_1,Normal,Normal
2511501C01_1,Level_1,Level_1
2511501L01_1,Normal,Normal
2511601A01_1,Normal,Normal
2511601C01_1,Level_1,Level_1
2511601L01_1,Level_1,Normal
2511701A01_1,Normal,Level_1
2511701C01_1,Normal,Normal
2511701L01_1,Normal,Normal
2511801A01_1,Normal,Level_2
2511801C01_1,Level_1,Normal
2511801L01_1,Normal,Normal
2511901A01_1,Normal,Normal
2511901C01_1,Normal,Normal
2511901L01_1,Level_1,Level_2
2512001A01_1,Level_1,Level_1
2512001C01_1,Normal,Normal
2512001L01_1,Level_1,Level_1
2512101A01_1,Normal,Normal
2512101C01_1,Normal,Normal
2512101L01_1,Normal,Normal
2512201A01_1,Normal,Normal
2512201C01_1,Normal,Level_2
2512201L01_1,Normal,Normal
2512301A01_1,Normal,Normal
2512301C01_1,Normal,Normal
2512301L01_1,Normal,Normal
2512401A01_1,Level_1,Level_2
2512401C01_1,Level_2,Level_2
2512401L01_1,Normal,Level_1
2512501A01_1,Level_1,Normal
2512501C01_1,Level_2,Level_2
2512501L01_1,Normal,Normal
2512601A01_1,Level_1,Normal
2512601C01_1,Level_1,Level_2
2512601L01_1,Level_1,Normal
2512701A01_1,Level_1,Normal
2512701C01_1,Normal,Level_1
2512701L01_1,Normal,Normal
2512801A01_1,Normal,Normal
2512801C01_1,Normal,Normal
2512801L01_1,Normal,Normal
251701L01_1,Level_1,Level_1
251901L01_1,Level_2,Normal
252001L01_1,Level_1,Normal
252601L01_1,Level_1,Normal
252801L01_1,Normal,Normal
253201L01_1,Normal,Level_2
253501L01_1,Level_1,Normal
254101A01_1,Normal,Normal
254101C01_1,Level_1,Normal
254101L01_1,Normal,Normal
254401A01_1,Level_1,Level_1
254401C01_1,Level_1,Level_1
254401L01_1,Normal,Normal
254601A01_1,Level_1,Level_2
254601C01_1,Normal,Level_2
254601L01_1,Level_2,Normal
254701A01_1,Level_1,Normal
254701C01_1,Level_2,Normal
254701L01_1,Level_1,Normal
254801A01_1,Normal,Level_2
254801C01_1,Normal,Level_2
254801L01_1,Level_1,Normal
254901A01_1,Normal,Normal
254901C01_1,Normal,Level_1
254901L01_1,Normal,Level_1
255001A01_1,Normal,Normal
255001C01_1,Normal,Normal
255001L01_1,Normal,Normal
255101A01_1,Normal,Level_1
255101C01_1,Level_1,Normal
255101L01_1,Normal,Normal
255201A01_1,Level_1,Level_1
255201C01_1,Normal,Normal
255201L01_1,Normal,Normal
255301A01_1,Level_1,Level_2
255301C01_1,Level_2,Level_2
255301L01_1,Normal,Level_2
255401A01_1,Level_2,Level_1
255401C01_1,Level_1,Level_1
255401L01_1,Level_1,Level_1
255501A01_1,Normal,Normal
255501C01_1,Normal,Normal
255501L01_1,Normal,Normal
255601A01_1,Level_1,Level_1
255601C01_1,Normal,Normal
255601L01_1,Normal,Normal
255801A01_1,Level_2,Normal
255801C01_1,Level_1,Normal
