Name,KNeighborsRegressor,XGBRegressor,Majority
208500,208500.0,202146.45,202146.453125
181500,181500.0,178922.45,178922.453125
223500,223500.0,219620.61,219620.609375
140000,140000.0,141015.08,140000.0
250000,250000.0,266187.78,250000.0
143000,143000.0,148160.72,143000.0
307000,307000.0,303223.22,303223.21875
200000,201101.8191457653,232021.66,201101.8191457653
129900,129900.0,129862.06,129862.0625
118000,130531.89232705675,121884.43,121884.4296875
129500,122151.69740324437,125446.56,122151.69740324437
345000,345000.0,349776.16,345000.0
144000,144000.0,140332.48,140332.484375
279500,279500.0,261168.5,261168.5
157000,157000.0,147885.72,147885.71875
132000,132000.0,138358.5,132000.0
149000,149000.0,151723.89,149000.0
90000,90000.0,101984.914,90000.0
159000,159000.0,157503.9,157503.90625
139000,139000.0,136103.75,136103.75
325300,325300.0,322900.94,322900.9375
139400,128106.6561658897,135688.08,128106.6561658897
230000,230000.0,230170.1,230000.0
129900,129900.0,135440.52,129900.0
154000,154000.0,150856.05,150856.046875
256300,243710.8442923813,269373.25,243710.8442923813
134800,130642.5606912195,120081.47,120081.46875
306000,306000.0,312433.97,306000.0
207500,207500.0,196964.69,196964.6875
68500,101427.2451819789,77831.42,77831.421875
40000,40000.0,43622.914,40000.0
149350,149350.0,146225.06,146225.0625
179900,179900.0,186958.7,179900.0
165500,165500.0,171959.2,165500.0
277500,277500.0,279601.72,277500.0
309000,309000.0,302154.7,302154.6875
145000,145000.0,143197.98,143197.984375
153000,153000.0,148409.72,148409.71875
109000,109000.0,116304.695,109000.0
82000,82000.0,81953.766,81953.765625
160000,141691.12903239435,147061.14,141691.12903239435
170000,170000.0,166906.8,166906.796875
144000,144000.0,136513.52,136513.515625
130250,130250.0,128204.42,128204.421875
141000,141000.0,140749.22,140749.21875
319900,298795.40899042354,295525.8,295525.8125
239686,239686.0,244035.23,239686.0
249700,249700.0,246798.34,246798.34375
113000,113000.0,111296.92,111296.921875
127000,127000.0,129974.43,127000.0
177000,177000.0,178493.17,177000.0
114500,114500.0,118738.42,114500.0
110000,110000.0,111402.63,110000.0
385000,385000.0,384931.2,384931.1875
130000,130000.0,131965.31,130000.0
180500,180500.0,169438.0,169438.0
172500,172500.0,174624.05,172500.0
196500,196500.0,193727.83,193727.828125
438780,438780.0,438707.44,438707.4375
124900,124900.0,124796.77,124796.7734375
158000,158000.0,158980.62,158000.0
101000,101000.0,103639.086,101000.0
202500,205427.84213117725,215275.77,205427.84213117725
140000,140000.0,140903.16,140000.0
219500,219500.0,228132.69,219500.0
317000,317000.0,316035.0,316035.0
180000,180000.0,186663.77,180000.0
226000,226000.0,216221.17,216221.171875
80000,80000.0,76481.76,76481.7578125
225000,251329.43015832955,226174.14,226174.140625
244000,244000.0,249503.5,244000.0
129500,115951.86065929059,118922.39,115951.86065929059
185000,185000.0,187363.28,185000.0
144900,144900.0,145814.94,144900.0
107400,107400.0,109215.98,107400.0
91000,91000.0,90038.59,90038.59375
135750,135750.0,126317.82,126317.8203125
127000,127000.0,126317.69,126317.6875
136500,136500.0,134895.58,134895.578125
110000,110000.0,108040.39,108040.390625
193500,193500.0,194885.25,193500.0
153500,153500.0,159650.48,153500.0
245000,245000.0,248185.06,245000.0
126500,129842.07100691422,128403.25,128403.25
168500,168500.0,167525.97,167525.96875
260000,260000.0,255969.7,255969.703125
174000,174000.0,177327.48,174000.0
164500,164134.7507099532,174936.19,164134.7507099532
85000,85000.0,84697.73,84697.7265625
123600,123600.0,118122.33,118122.328125
109900,109900.0,99728.85,99728.8515625
98600,98600.0,102117.85,98600.0
163500,127999.75881605204,131448.98,127999.75881605204
133900,133900.0,135062.34,133900.0
204750,204750.0,208128.48,204750.0
185000,185000.0,185527.48,185000.0
214000,214000.0,220150.2,214000.0
94750,94750.0,101521.086,94750.0
83000,83000.0,81574.516,81574.515625
128950,128950.0,119067.6,119067.6015625
205000,205000.0,208702.45,205000.0
178000,178000.0,178428.4,178000.0
118964,118964.0,119197.77,118964.0
198900,190720.26440820898,206265.39,190720.26440820898
169500,169500.0,164599.53,164599.53125
250000,250000.0,248132.97,248132.96875
100000,100000.0,97105.164,97105.1640625
115000,115000.0,111691.32,111691.3203125
115000,115000.0,118523.64,115000.0
190000,190000.0,196965.94,190000.0
136900,136900.0,142833.6,136900.0
180000,180000.0,171882.25,171882.25
383970,328268.3076493664,291455.12,291455.125
217000,217000.0,219149.81,217000.0
259500,189005.9690700166,195412.12,189005.9690700166
176000,176000.0,174314.12,174314.125
139000,120466.09846556318,138156.53,120466.09846556318
155000,155000.0,153296.17,153296.171875
320000,320000.0,321317.34,320000.0
163990,163990.0,175691.42,163990.0
180000,180000.0,178875.38,178875.375
100000,100000.0,103171.3,100000.0
136000,138014.25925829294,148786.53,138014.25925829294
153900,153900.0,163094.69,153900.0
181000,181000.0,187933.36,181000.0
84500,84500.0,87489.56,84500.0
128000,128000.0,130909.05,128000.0
87000,96674.19178124066,92103.63,92103.6328125
155000,155000.0,157604.69,155000.0
150000,150000.0,146919.03,146919.03125
226000,226000.0,226931.97,226000.0
244000,244000.0,226169.27,226169.265625
150750,150750.0,150761.64,150750.0
220000,220000.0,220849.83,220000.0
180000,180000.0,176620.05,176620.046875
174000,174000.0,167673.92,167673.921875
143000,143000.0,149632.5,143000.0
171000,147831.41894112356,225881.69,147831.41894112356
230000,231954.49452952406,243245.92,231954.49452952406
231500,231500.0,227792.6,227792.59375
115000,115000.0,110594.97,110594.96875
260000,260000.0,265710.03,260000.0
166000,166000.0,155690.14,155690.140625
204000,214144.11749965348,221423.05,214144.11749965348
125000,125000.0,128066.5,125000.0
130000,130000.0,130508.64,130000.0
105000,105000.0,104333.164,104333.1640625
222500,222500.0,227401.2,222500.0
141000,141000.0,149496.56,141000.0
115000,115000.0,109695.34,109695.34375
122000,122000.0,131177.67,122000.0
372402,287648.4277969315,334736.12,287648.4277969315
190000,190000.0,179558.47,179558.46875
235000,235000.0,233337.98,233337.984375
125000,125000.0,121530.76,121530.7578125
79000,79000.0,77073.664,77073.6640625
109500,113921.65657130117,109708.27,109708.2734375
269500,269500.0,269051.56,269051.5625
254900,254900.0,249469.5,249469.5
320000,320000.0,318040.5,318040.5
162500,162500.0,160782.55,160782.546875
412500,412500.0,406357.38,406357.375
220000,220000.0,232764.83,220000.0
103200,103200.0,97616.33,97616.328125
152000,152000.0,143871.31,143871.3125
127500,133794.0665457258,123596.05,123596.046875
190000,190000.0,191232.47,190000.0
325624,348714.69978887,321353.16,321353.15625
183500,183500.0,191189.1,183500.0
228000,228000.0,231919.61,228000.0
128500,128500.0,127355.8,127355.796875
215000,215000.0,208304.61,208304.609375
239000,239000.0,233926.77,233926.765625
163000,163000.0,159912.28,159912.28125
184000,184000.0,183604.95,183604.953125
243000,207294.52524360656,218639.55,207294.52524360656
211000,211000.0,210521.16,210521.15625
172500,172500.0,168146.03,168146.03125
501837,424397.40587395354,448872.88,424397.40587395354
100000,100000.0,103707.16,100000.0
177000,177000.0,175034.48,175034.484375
200100,200100.0,193626.7,193626.703125
120000,120000.0,116775.92,116775.921875
200000,200000.0,201837.48,200000.0
127000,127000.0,128670.49,127000.0
475000,475000.0,474299.28,474299.28125
173000,173000.0,173950.69,173000.0
135000,135000.0,140082.48,135000.0
153337,153337.0,151984.77,151984.765625
286000,286000.0,285395.7,285395.6875
315000,315000.0,312543.38,312543.375
184000,184000.0,178653.17,178653.171875
192000,192000.0,195911.33,192000.0
130000,130000.0,130326.414,130000.0
127000,127000.0,123330.22,123330.21875
148500,149577.7765195178,156786.72,149577.7765195178
311872,311872.0,309646.06,309646.0625
235000,235000.0,233450.58,233450.578125
104000,104000.0,102960.44,102960.4375
274900,320207.5903932583,310057.3,310057.3125
140000,147223.61398186666,145420.88,145420.875
171500,157446.27333192766,166028.89,157446.27333192766
112000,112000.0,112877.984,112000.0
149000,149000.0,147412.83,147412.828125
110000,110000.0,113128.18,110000.0
180500,180500.0,183518.38,180500.0
143900,143900.0,143208.36,143208.359375
141000,135762.32071247674,140256.6,135762.32071247674
277000,231221.887757844,245913.62,231221.887757844
145000,145000.0,148097.28,145000.0
98000,98000.0,95562.53,95562.53125
186000,186000.0,185456.23,185456.234375
252678,252678.0,255562.56,252678.0
156000,156000.0,153200.14,153200.140625
161750,161750.0,157486.05,157486.046875
134450,148807.2901244867,147045.33,147045.328125
210000,210000.0,208875.39,208875.390625
107000,107000.0,97320.836,97320.8359375
311500,311500.0,301871.3,301871.3125
167240,167240.0,168773.81,167240.0
204900,204900.0,208317.38,204900.0
200000,222589.67636246013,205087.12,205087.125
179900,170381.68689298676,163388.48,163388.484375
97000,97000.0,105125.72,97000.0
386250,386250.0,386575.5,386250.0
112000,99781.12660226636,109087.086,99781.12660226636
290000,290000.0,288595.12,288595.125
106000,96647.82081792603,94239.25,94239.25
125000,125000.0,125151.84,125000.0
192500,192500.0,196917.05,192500.0
148000,154429.85498048607,135062.72,135062.71875
403000,336853.0498899681,374515.62,336853.0498899681
94500,94500.0,95023.05,94500.0
128200,128200.0,123844.62,123844.6171875
216500,216500.0,210894.34,210894.34375
89500,89500.0,90722.29,89500.0
185500,185500.0,189005.45,185500.0
194500,194500.0,195564.92,194500.0
318000,318000.0,300735.12,300735.125
113000,113000.0,119025.43,113000.0
262500,262500.0,263447.72,262500.0
110500,110500.0,109346.01,109346.0078125
79000,79000.0,77193.555,77193.5546875
120000,120000.0,131965.11,120000.0
205000,205000.0,219169.39,205000.0
241500,241500.0,240909.5,240909.5
137000,148627.65761937536,142701.6,142701.59375
140000,140000.0,146051.83,140000.0
180000,180000.0,176563.34,176563.34375
277000,259187.4832944936,265754.03,259187.4832944936
76500,76500.0,77478.53,76500.0
235000,235000.0,242403.05,235000.0
173000,198082.44665671253,183004.7,183004.703125
158000,165087.2207949841,147174.66,147174.65625
145000,145000.0,142848.53,142848.53125
230000,213736.572453456,236462.28,213736.572453456
207500,207500.0,205816.16,205816.15625
220000,220000.0,219596.86,219596.859375
231500,231500.0,223458.72,223458.71875
97000,97000.0,101456.95,97000.0
176000,176000.0,175160.9,175160.90625
276000,301149.8642351484,365002.7,301149.8642351484
151000,151000.0,155379.67,151000.0
130000,130000.0,129026.35,129026.3515625
73000,73000.0,75214.59,73000.0
175500,175500.0,176542.12,175500.0
185000,185000.0,187033.03,185000.0
179500,179500.0,177760.53,177760.53125
120500,120500.0,118300.26,118300.2578125
148000,148000.0,149443.78,148000.0
266000,266000.0,266215.72,266000.0
241500,241500.0,241942.95,241500.0
290000,290000.0,288264.03,288264.03125
139000,139000.0,146564.14,139000.0
124500,127708.73836898235,123850.484,123850.484375
205000,205000.0,205500.25,205000.0
201000,201000.0,207794.66,201000.0
141000,141000.0,131077.47,131077.46875
415298,415298.0,408891.7,408891.6875
192000,192000.0,206761.28,192000.0
228500,219735.74777376818,223246.69,219735.74777376818
185000,185000.0,188249.6,185000.0
207500,207500.0,218945.73,207500.0
244600,244600.0,245337.11,244600.0
179200,196024.4791892752,186500.27,186500.265625
164700,164700.0,167263.1,164700.0
159000,169153.07977805735,185655.6,169153.07977805735
88000,88000.0,93695.2,88000.0
122000,122000.0,121181.98,121181.9765625
153575,147134.23131773117,155604.25,147134.23131773117
233230,233230.0,235462.45,233230.0
135900,135900.0,138563.16,135900.0
131000,132916.84551619415,149856.27,132916.84551619415
235000,219990.92456693746,274530.47,219990.92456693746
167000,167000.0,166647.03,166647.03125
142500,142500.0,141947.5,141947.5
152000,139151.8664766294,133080.1,133080.09375
239000,239000.0,238167.42,238167.421875
175000,174188.2832827117,172445.02,172445.015625
158500,158500.0,158074.19,158074.1875
157000,157000.0,156571.67,156571.671875
267000,267000.0,273068.97,267000.0
205000,205000.0,217783.67,205000.0
149900,113122.86423761834,135469.27,113122.86423761834
295000,295000.0,297064.28,295000.0
305900,305900.0,307677.78,305900.0
225000,225000.0,227759.92,225000.0
89500,89500.0,92173.48,89500.0
82500,82500.0,89155.04,82500.0
360000,360000.0,358957.2,358957.1875
165600,165600.0,174746.62,165600.0
132000,132000.0,128016.15,128016.1484375
119900,119900.0,119732.79,119732.7890625
375000,375000.0,371550.94,371550.9375
178000,178000.0,174692.72,174692.71875
188500,178949.74521792092,174856.42,174856.421875
260000,260000.0,257060.47,257060.46875
270000,270000.0,267587.34,267587.34375
260000,260000.0,268266.9,260000.0
187500,187500.0,193237.22,187500.0
342643,301910.4098001077,382265.75,301910.4098001077
354000,354000.0,352244.06,352244.0625
301000,301000.0,292104.0,292104.0
126175,126175.0,128004.805,126175.0
242000,242000.0,241756.12,241756.125
87000,87000.0,89719.92,87000.0
324000,324000.0,323959.75,323959.75
145250,157876.9316568779,147321.88,147321.875
214500,214500.0,202643.64,202643.640625
78000,78000.0,83601.8,78000.0
119000,119000.0,123752.984,119000.0
139000,139000.0,135332.95,135332.953125
284000,284000.0,287633.12,284000.0
207000,207000.0,204422.7,204422.703125
192000,192000.0,192951.7,192000.0
228950,228950.0,233276.58,228950.0
377426,377426.0,368546.4,368546.40625
214000,214000.0,217010.22,214000.0
202500,202500.0,199244.36,199244.359375
155000,155000.0,157103.48,155000.0
202900,202900.0,202435.45,202435.453125
82000,82000.0,81891.85,81891.8515625
87500,87500.0,89091.07,87500.0
266000,266000.0,268959.56,266000.0
85000,85000.0,80365.805,80365.8046875
140200,140200.0,138849.22,138849.21875
151500,151500.0,147412.06,147412.0625
157500,157500.0,164827.89,157500.0
154000,154000.0,164609.73,154000.0
437154,437154.0,436938.12,436938.125
318061,318061.0,319812.25,318061.0
190000,190000.0,189912.95,189912.953125
95000,95000.0,96767.37,95000.0
105900,110373.39242937928,104861.61,104861.609375
140000,140000.0,148370.33,140000.0
177500,177500.0,175655.0,175655.0
173000,173000.0,167415.05,167415.046875
134000,134000.0,135289.84,134000.0
130000,130000.0,126706.68,126706.6796875
280000,280000.0,277706.2,277706.1875
156000,156000.0,154078.3,154078.296875
145000,145000.0,151928.11,145000.0
198500,198500.0,197680.83,197680.828125
118000,118000.0,114823.49,114823.4921875
190000,190000.0,185250.28,185250.28125
147000,147000.0,136375.55,136375.546875
159000,159000.0,159008.22,159000.0
165000,165000.0,150792.08,150792.078125
132000,132000.0,139592.22,132000.0
162000,162000.0,162667.5,162000.0
172400,172400.0,175733.6,172400.0
134432,134432.0,134230.75,134230.75
125000,125000.0,124426.76,124426.7578125
123000,123000.0,126607.89,123000.0
219500,219500.0,212826.92,212826.921875
61000,61000.0,59886.43,59886.4296875
148000,148000.0,140862.78,140862.78125
340000,270555.2054737794,306522.22,270555.2054737794
394432,394432.0,393306.72,393306.71875
179000,179000.0,178740.84,178740.84375
127000,127000.0,131986.38,127000.0
187750,187750.0,190917.81,187750.0
213500,201703.09656315763,203672.98,201703.09656315763
76000,96709.74368934026,94709.15,94709.1484375
240000,247344.21256537235,255126.25,247344.21256537235
192000,192948.30647652663,208141.95,192948.30647652663
81000,91677.14518278047,79370.2,79370.203125
125000,125000.0,128123.3,125000.0
191000,191000.0,190225.9,190225.90625
426000,426000.0,424185.25,424185.25
119000,141471.69350068044,117188.375,117188.375
215000,215000.0,219102.4,215000.0
106500,113638.67365686665,111352.92,111352.921875
100000,100000.0,92713.12,92713.1171875
109000,109000.0,108368.89,108368.890625
129000,129000.0,131405.08,129000.0
123000,123000.0,124089.39,123000.0
169500,169500.0,166323.86,166323.859375
67000,67000.0,67840.266,67000.0
241000,241000.0,225494.97,225494.96875
245500,245500.0,245781.66,245500.0
164990,164990.0,179241.08,164990.0
108000,108000.0,107670.46,107670.4609375
258000,258000.0,257691.28,257691.28125
168000,168000.0,170676.08,168000.0
150000,150000.0,151854.89,150000.0
115000,129975.43117502471,123142.33,123142.328125
177000,177000.0,174790.31,174790.3125
280000,273916.8568347578,269739.16,269739.15625
