TSNE1,TSNE2,TSNE3,Label
2.0382035,11.572471,-0.35642403,G_K
2.0255384,11.498169,-0.3713561,G_K
2.0019224,11.399895,-0.393449,G_K
1.9655991,11.265863,-0.4233016,G_K
4.284611,9.814112,-1.8956616,G_K
4.286145,9.811974,-1.8969872,G_K
4.287079,9.810608,-1.8978571,G_K
4.2877474,9.809537,-1.8984916,G_K
4.2883472,9.808598,-1.8989418,G_K
4.2887664,9.807792,-1.8994005,G_K
4.2889967,9.807093,-1.899626,G_K
0.80806583,11.721068,-1.6765733,G_K
0.6953438,11.703438,-1.8256652,G_K
0.57582384,11.737127,-1.9822202,G_K
0.3526537,10.561924,-2.456786,G_K
0.35329163,10.236872,-2.5034213,G_K
0.3269706,9.965038,-2.5884812,G_K
0.276424,9.72605,-2.7112732,G_K
0.2118989,9.485295,-2.8671272,G_K
0.13170758,9.256114,-3.0424523,G_K
0.041996904,9.024171,-3.2399085,G_K
-0.04913523,8.788747,-3.437471,G_K
-0.13302237,8.544399,-3.6213336,G_K
-0.22400028,8.311313,-3.8180265,G_K
-0.31016815,8.055746,-3.9967668,G_K
-0.40096948,7.803041,-4.1855254,G_K
-0.4909658,7.5241346,-4.3702297,G_K
-0.5788518,7.251649,-4.5431223,G_K
-0.66570836,6.991956,-4.7108107,G_K
-0.7541705,6.6905184,-4.8725715,G_K
-0.84628886,6.388185,-5.0279646,G_K
-0.9541733,6.064153,-5.1670146,G_K
-1.0729916,5.7363834,-5.2909346,G_K
-1.2011611,5.4032145,-5.404287,G_K
-1.3221155,5.042929,-5.5069785,G_K
-1.4464478,4.651712,-5.5873623,G_K
-1.5559654,4.2649865,-5.677729,G_K
-1.6718924,3.8413975,-5.7414503,G_K
-1.7658267,3.422953,-5.7875576,G_K
-1.8577744,2.942559,-5.8086243,G_K
-1.9161618,2.4739602,-5.807616,G_K
-1.9689497,1.9976658,-5.7761993,G_K
-1.9978452,1.525825,-5.7151246,G_K
-2.0106027,1.0859882,-5.637302,G_K
-2.024593,0.60795397,-5.511248,G_K
-2.0270796,0.16213489,-5.3650637,G_K
-2.017193,-0.27520838,-5.1982555,G_K
-2.0029762,-0.66925627,-5.008869,G_K
-1.9942381,-1.0518321,-4.782953,G_K
-1.9907613,-1.4355274,-4.5350547,G_K
-1.9881473,-1.7919146,-4.266305,G_K
-1.9874942,-2.1076338,-4.0103383,G_K
-1.994008,-2.4208083,-3.7059546,G_K
-2.0097017,-2.6799712,-3.4467173,G_K
-2.0233388,-2.9081159,-3.1612985,G_K
-2.057266,-3.128387,-2.8922005,G_K
-2.085067,-3.3318145,-2.6247451,G_K
-2.1024842,-3.5183988,-2.36375,G_K
-2.1222067,-3.7303681,-2.0963173,G_K
-2.1307147,-3.9411979,-1.8644294,G_K
-2.1273065,-4.1584477,-1.6547403,G_K
-2.0985165,-4.3933797,-1.4496778,G_K
-2.059305,-4.694672,-1.2404454,G_K
-1.9855375,-5.0534644,-1.0398747,G_K
-1.8963019,-5.532119,-0.8071989,G_K
-1.7668061,-6.1250196,-0.5285796,G_K
-1.6875124,-6.8104467,-0.19754633,G_K
-1.608834,-7.526241,0.17344905,G_K
-1.6061765,-8.214794,0.57199574,G_K
-1.6663088,-8.857017,1.0380299,G_K
-1.8099625,-9.43653,1.4811028,G_K
-2.0089695,-9.960208,1.9052827,G_K
-2.2318985,-10.442106,2.3310826,G_K
-2.48684,-10.874177,2.7337234,G_K
-2.7587225,-11.270369,3.119152,G_K
-3.0344079,-11.671606,3.4799407,G_K
-3.3110905,-12.044016,3.8249638,G_K
-3.5911703,-12.319071,4.2004848,G_K
-3.7431164,-12.632602,4.5336976,G_K
-3.9077818,-12.979055,4.7505155,G_K
-4.161703,-13.157563,5.008638,G_K
-12.905159,2.5807736,-2.0630002,G_Na
-12.861455,2.5336952,-2.007086,G_Na
-12.8228,2.4931931,-1.9431566,G_Na
-12.782657,2.5579693,-1.8197021,G_Na
-12.792045,2.2388003,-1.8228456,G_Na
-12.538694,2.201334,-1.8811692,G_Na
-12.352348,2.4550288,-1.7394259,G_Na
-12.353437,2.5101185,-1.5576699,G_Na
-12.67186,2.210208,-1.3614655,G_Na
-12.420239,2.434325,-1.2602186,G_Na
-12.264254,1.949454,-1.404282,G_Na
-12.155276,1.9704342,-1.2903932,G_Na
-12.025544,2.0830731,-1.1257672,G_Na
-12.06417,2.1898313,-0.9120639,G_Na
-12.230279,2.1003458,-0.7420067,G_Na
-12.250784,1.8172482,-0.7191042,G_Na
-12.019876,1.732266,-0.6640723,G_Na
-11.912267,1.7605023,-0.5470087,G_Na
-11.855228,1.8495072,-0.37489298,G_Na
-11.955184,1.8283621,-0.18609123,G_Na
-12.022138,1.691382,-0.07486143,G_Na
-11.931807,1.4979249,-0.0019505619,G_Na
-11.890676,1.4546509,0.12202365,G_Na
-11.767462,1.533599,0.3012932,G_Na
-11.817231,1.491344,0.45711017,G_Na
-11.852507,1.3975574,0.58331925,G_Na
-11.80765,1.2327179,0.66708755,G_Na
-11.696013,1.1598042,0.8043305,G_Na
-11.668861,1.1451027,0.94320387,G_Na
-11.696819,1.156257,1.1312042,G_Na
-11.680603,1.0544556,1.2745738,G_Na
-11.662955,0.9636287,1.3762865,G_Na
-11.560965,0.9312006,1.5340255,G_Na
-11.555406,0.8921365,1.6735413,G_Na
-11.532063,0.84353274,1.8487368,G_Na
-11.558933,0.74875325,1.9794861,G_Na
-11.549985,0.6707713,2.1134458,G_Na
-11.420062,0.6260016,2.232459,G_Na
-11.410549,0.60759777,2.3989232,G_Na
-11.412646,0.560798,2.5525172,G_Na
-11.443218,0.4706467,2.6855488,G_Na
-11.388547,0.38560733,2.8172872,G_Na
-11.344809,0.34035796,2.9555693,G_Na
-11.318726,0.34218994,3.127954,G_Na
-11.316862,0.28334114,3.2638001,G_Na
-11.293675,0.21160588,3.4008508,G_Na
-11.256864,0.1267434,3.529455,G_Na
-11.232794,0.084085904,3.699023,G_Na
-11.210384,0.059414405,3.840831,G_Na
-11.2070055,0.0075579993,4.0085864,G_Na
-11.17995,-0.079965055,4.133128,G_Na
-11.135152,-0.16083823,4.2669983,G_Na
-11.112941,-0.2169081,4.4155035,G_Na
-11.077475,-0.19860515,4.5694766,G_Na
-11.087012,-0.26346108,4.7215176,G_Na
-11.079964,-0.34284052,4.872872,G_Na
-11.050947,-0.43290308,5.0055437,G_Na
-10.947266,-0.47512448,5.118769,G_Na
-11.005345,-0.44382492,5.303574,G_Na
-11.061725,-0.48116413,5.452521,G_Na
-10.839736,-0.51867235,5.568536,G_Na
-10.95079,-0.78912276,5.6269264,G_Na
-10.754555,-0.8209685,5.738379,G_Na
-11.076461,-0.797394,5.934513,G_Na
-10.797973,-0.5932793,6.10818,G_Na
-11.063862,-0.7201945,6.2400312,G_Na
-10.583364,-0.7569416,6.276211,G_Na
-11.057086,-1.1470442,6.3268213,G_Na
-10.694133,-1.2600777,6.316105,G_Na
-10.432065,-1.0853364,6.470239,G_Na
-10.630816,-0.72663724,6.757566,G_Na
-10.926198,-0.80589336,6.891825,G_Na
-11.101201,-1.0769933,6.900028,G_Na
-10.981828,-1.4324284,6.8021264,G_Na
-10.369751,-1.0935156,6.9709644,G_Na
-10.452341,-1.4504828,6.9049206,G_Na
-10.682558,-1.5895274,6.953107,G_Na
-10.544434,-1.0589063,7.2576184,G_Na
-10.849649,-1.1532536,7.3202343,G_Na
-10.922884,-1.4354116,7.266167,G_Na
-10.573196,-1.3980517,7.33951,G_Na
11.912548,-3.8100138,-2.8126915,G_Ca
11.52081,-3.5642645,-2.7841923,G_Ca
12.078875,-3.4181578,-2.5421214,G_Ca
12.006606,-3.1427248,-2.3355556,G_Ca
11.753001,-2.980437,-1.9590096,G_Ca
11.620671,-2.70989,-1.4818665,G_Ca
11.446034,-2.4782481,-0.8166487,G_Ca
11.199125,-1.8432661,-0.14126022,G_Ca
10.893519,-1.5798342,0.9665618,G_Ca
10.678767,-0.8585008,2.0615704,G_Ca
10.197304,-0.27112094,3.269728,G_Ca
9.714941,0.33176765,4.512766,G_Ca
9.121939,0.95098764,5.7285194,G_Ca
8.497768,1.6638631,6.81598,G_Ca
