day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,day_sin,day_cos,dewpoint_3,humidity_3,cloud_3,temp_diff,temp_rel,temp_rel_log,windspeed_log,wet_bulb,wet_bulb_2,log_pressure_dewpoint_2,log_cloud_sunshine,cloudtest,sin_day2,cos_day2,cloud_sunshine,cloud_humidity,dewpoint_temp,cloud_sunshine_2,cloud_humidity_2,dewpoint_temp_3,day_windowed,pressure_windowed,maxtemp_windowed,temparature_windowed,mintemp_windowed,dewpoint_windowed,humidity_windowed,cloud_windowed,sunshine_windowed,winddirection_windowed,windspeed_windowed,day_sin_windowed,day_cos_windowed,dewpoint_3_windowed,humidity_3_windowed,cloud_3_windowed,temp_diff_windowed,temp_rel_windowed,temp_rel_log_windowed,windspeed_log_windowed,wet_bulb_windowed,wet_bulb_2_windowed,log_pressure_dewpoint_2_windowed,log_cloud_sunshine_windowed,cloudtest_windowed,sin_day2_windowed,cos_day2_windowed,cloud_sunshine_windowed,cloud_humidity_windowed,dewpoint_temp_windowed,cloud_sunshine_2_windowed,cloud_humidity_2_windowed,dewpoint_temp_3_windowed,wind_sector_East,wind_sector_North,wind_sector_South,wind_sector_West,rainfall
1,1017.4,21.2,20.6,19.9,19.4,87.0,88.0,1.1,60.0,17.2,0.017213356155834685,0.9998518392091162,7301.383999999998,658503.0,681472.0,1.3000000000000007,1.06532657963183,0.06328139969626496,2.8449093838194073,20.2,408.03999999999996,98.83387852746705,5.230573714461517,1,0.0086069968886884,0.9999629591162655,86.9,7656.0,0.9417475270996344,7551.610000000001,58614336.0,0.8352249620321165,1.0,1017.4,21.2,20.6,19.9,19.4,87.0,88.0,1.1,60.0,17.2,0.017213356155834685,0.9998518392091162,7301.383999999998,658503.0,681472.0,1.3000000000000007,1.06532657963183,0.06328139969626496,2.8449093838194073,20.2,408.03999999999996,98.83387852746705,5.230573714461517,1.0,0.0086069968886884,0.9999629591162655,86.9,7656.0,0.9417475270996344,7551.610000000001,58614336.0,0.8352249620321165,1,0,0,0,1
2,1019.5,16.2,16.9,15.8,15.4,95.0,91.0,0.0,50.0,21.9,0.03442161162274574,0.9994074007397048,3652.264,857375.0,753571.0,0.3999999999999986,1.02531639080276,0.025001238914280004,3.086486636822455,16.4,268.96,94.58203032565677,4.5217885770490405,0,0.017213356155834685,0.9998518392091162,91.0,8645.0,0.9112425496306185,8281.0,74736025.0,0.7566620828935204,1.5,1018.45,18.7,18.75,17.85,17.4,91.0,89.5,0.55,55.0,19.549999999999997,0.025817483889290213,0.9996296199744106,5476.823999999999,757939.0,717521.5,0.8499999999999996,1.0453214852172952,0.044141319305272486,2.9656980103209314,18.299999999999997,338.5,96.70795442656191,4.876181145755279,0.5,0.012910176522261542,0.9999073991626909,88.95,8150.5,0.9264950383651265,7916.305,66675180.5,0.7959435224628184,1,0,0,0,1
3,1024.1,19.4,16.1,14.6,9.3,75.0,47.0,8.3,70.0,18.1,0.051619667223253764,0.998666816288476,804.3570000000002,421875.0,103823.0,4.799999999999999,1.3287670322762306,0.2842514688618433,2.89591193827178,13.833333333333334,191.36111111111111,85.83446862276,6.101215411067102,0,0.025818440227132873,0.9996666485105112,38.7,3525.0,0.5776397156745517,1497.6900000000003,12425625.0,0.19273968134899902,2.0,1020.3333333333334,18.933333333333334,17.866666666666667,16.766666666666666,14.700000000000001,85.66666666666667,75.33333333333333,3.1333333333333333,60.0,19.066666666666666,0.03441821166727806,0.9993086854124323,3919.3349999999996,645917.6666666666,512955.3333333333,2.166666666666666,1.1398033342369402,0.12417803582412944,2.9424359863045475,16.81111111111111,289.4537037037037,93.08345915862795,5.28452590085922,0.3333333333333333,0.017212931090551987,0.9998271489452977,72.2,6608.666666666667,0.8102099308016015,5776.766666666666,48591995.333333336,0.5948755754248787,1,0,0,0,1
4,1013.4,18.1,17.8,16.9,16.8,95.0,95.0,0.0,60.0,35.6,0.06880242680231986,0.9976303053065857,4741.6320000000005,857375.0,857375.0,1.2000000000000028,1.071005853786636,0.06859825717115656,3.572345637857985,17.46666666666667,305.0844444444445,96.06452196833115,4.564348191467836,0,0.03442161162274574,0.9994074007397048,95.0,9025.0,0.9438201716954959,9025.0,81450625.0,0.8407517211481336,3.0,1019.0,17.9,16.933333333333334,15.766666666666666,13.833333333333334,88.33333333333333,77.66666666666667,2.766666666666667,60.0,25.2,0.05161456854943979,0.9985681741115888,3066.0843333333337,712208.3333333334,571589.6666666666,2.1333333333333333,1.1416964256218753,0.12595032164909328,3.1849147376507396,15.9,255.13518518518518,92.16034030558264,5.0624507265279926,0.0,0.0258178026685711,0.9996419628197774,74.89999999999999,7065.0,0.8109008123335553,6267.896666666667,56204091.666666664,0.596717828463551,1,0,0,0,1
5,1021.8,21.3,18.4,15.2,9.6,52.0,45.0,3.6,40.0,24.8,0.08596479873744647,0.9962981749346078,884.7359999999999,140608.0,91125.0,6.100000000000001,1.4013156972818621,0.33741157907367725,3.2108436531709366,15.466666666666665,239.2177777777777,86.32552861343424,5.354697699984144,0,0.04302223300453047,0.99907411510223,41.4,2340.0,0.5217391020793967,1713.9599999999998,5475600.0,0.14202348304930554,4.0,1019.7666666666665,19.599999999999998,17.433333333333334,15.566666666666665,11.9,74.0,62.333333333333336,3.966666666666667,56.666666666666664,26.166666666666668,0.0687956309210067,0.99753176550989,2143.5750000000003,473286.0,350774.3333333333,4.033333333333334,1.2670295277815762,0.23008710170222568,3.2263670764335672,15.588888888888889,245.2211111111111,89.40817306817513,5.3400871008396935,0.0,0.03442076161813636,0.9993827214508153,58.36666666666667,4963.333333333333,0.6810663298164815,4078.883333333333,33117283.333333332,0.391838295182146,0,1,0,0,0
6,1022.7,20.6,18.6,16.5,12.5,79.0,81.0,0.0,20.0,15.7,0.10310169744743485,0.9946708199115211,1953.125,493039.0,531441.0,4.100000000000001,1.2484847728191046,0.22193063428294166,2.7536607123542622,16.566666666666666,274.45444444444445,90.89464818192693,4.406719247264253,0,0.051619667223253764,0.998666816288476,81.0,6399.0,0.6720429746213453,6561.0,40947201.0,0.3035226716774814,5.0,1019.3000000000001,20.0,18.266666666666666,16.2,12.966666666666667,75.33333333333333,73.66666666666667,1.2,40.0,25.366666666666664,0.08595630766240041,0.9961997667175716,2526.4976666666666,497007.3333333333,493313.6666666667,3.800000000000002,1.240268774629201,0.20931349017592515,3.1789500011277276,16.5,272.9188888888889,91.09489958789743,4.775255046238745,0.0,0.04302117061684333,0.9990494440434703,72.46666666666665,5921.333333333333,0.712534082798746,5766.653333333333,42624475.333333336,0.42876595862497346,0,1,0,0,1
7,1022.8,19.5,18.4,15.3,11.3,56.0,46.0,7.6,20.0,28.4,0.1202080448993527,0.9927487224577402,1442.8970000000002,175616.0,97336.0,4.199999999999999,1.2745097206202798,0.2425615718118364,3.3463891451671604,16.03333333333333,257.06777777777774,89.13013467018128,6.00190980496952,0,0.060213277365792996,0.9981855344718586,38.4,2576.0,0.6141304014059565,1474.56,6635776.0,0.23162305774987552,6.0,1022.4333333333333,20.46666666666667,18.46666666666667,15.666666666666666,11.133333333333333,62.333333333333336,57.333333333333336,3.733333333333333,26.666666666666668,22.96666666666667,0.10309151369474467,0.994572572434623,1426.9193333333333,269754.3333333333,239967.33333333334,4.800000000000001,1.3081033969070823,0.26730126172281843,3.1036311702307864,16.022222222222222,256.91333333333324,88.78343715518082,5.254442250739306,0.0,0.05161839253119241,0.9986421552875216,53.599999999999994,3771.6666666666665,0.6026374927022329,3249.84,17686192.333333332,0.22572307082555412,0,1,0,0,0
8,1019.7,15.8,13.6,12.7,11.8,96.0,100.0,0.0,50.0,52.8,0.13727877211326478,0.9905324521322229,1643.0320000000004,884736.0,1000000.0,3.1000000000000014,1.2440943902287884,0.21840786782822136,3.966511190712216,13.0,169.0,89.8265909858954,4.61512051684126,0,0.06880242680231986,0.9976303053065857,100.0,9600.0,0.8676469950259563,10000.0,92160000.0,0.6531744691883,7.0,1021.7333333333335,18.633333333333336,16.866666666666664,14.833333333333334,11.866666666666667,77.0,75.66666666666667,2.533333333333333,30.0,32.300000000000004,0.12019617148668411,0.9926506648338279,1679.6846666666668,517797.0,542925.6666666666,3.8000000000000007,1.2556962945560575,0.22763335797433315,3.3555203494112127,15.199999999999998,233.50740740740738,89.95045794600121,5.007916523025011,0.0,0.060211790463788877,0.9981608853556402,73.13333333333333,6191.666666666667,0.7179401236844193,6011.8533333333335,46580992.333333336,0.39610673287188564,1,0,0,0,1
9,1017.4,17.6,16.5,15.6,12.5,86.0,100.0,0.0,50.0,37.5,0.15430882066428117,0.9880226656636976,1953.125,636056.0,1000000.0,2.0000000000000018,1.1282050558842915,0.1206279236860529,3.624340932976365,15.166666666666666,230.02777777777777,90.79569933341612,4.61512051684126,0,0.07738647923346309,0.9970011699250151,100.0,8600.0,0.757575711662078,10000.0,73960000.0,0.43478857887668004,8.0,1019.9666666666666,17.633333333333333,16.166666666666668,14.533333333333331,11.866666666666667,79.33333333333333,82.0,2.533333333333333,40.0,39.56666666666666,0.1372652125589662,0.9904346134178869,1679.6846666666668,565469.3333333334,699112.0,3.100000000000001,1.2156030555777866,0.19386578777537022,3.6457470896185806,14.733333333333333,218.69851851851845,89.9174749964976,5.077383612884013,0.0,0.06880072780052532,0.9976056699011532,79.46666666666665,6925.333333333333,0.7464510360313303,7158.186666666667,57585258.666666664,0.43986203527161855,1,0,0,0,1
10,1025.4,16.5,14.4,12.0,8.6,77.0,84.0,1.0,50.0,38.3,0.1712931441814776,0.9852201067560606,636.0559999999999,456533.0,592704.0,4.5,1.3749998854166763,0.3184536477852048,3.6454498961866,12.466666666666665,155.41777777777773,84.55861634922061,5.135798437050262,0,0.08596479873744647,0.9962981749346078,83.0,6468.0,0.5972221807484597,6889.0,41835024.0,0.2130138230775355,9.0,1020.8333333333334,16.633333333333336,14.833333333333334,13.433333333333332,10.966666666666669,86.33333333333333,94.66666666666667,0.3333333333333333,50.0,42.86666666666667,0.1542935789863412,0.9879250748506604,1410.7376666666669,659108.3333333334,864234.6666666666,3.200000000000001,1.2490997771765853,0.2191631464331597,3.7454340066250604,13.544444444444443,184.81518518518513,88.39363555617736,4.788679823577594,0.0,0.07738456825774315,0.9969765500554028,94.33333333333333,8222.666666666666,0.7408149624788313,8963.0,69318341.33333333,0.4336589570475052,1,0,0,0,0
